tof,sweep
55445258.0,137
55447149.5,137
55445238.0,138
55445299.9,138
55447163.1,138
55447128.5,139
55447181.8,139
55447185.6,139
55447100.6,140
55447176.9,140
55447250.7,140
55445215.1,141
55447109.4,141
55447174.0,141
55447245.9,141
55447156.4,142
55447165.0,142
55447181.5,142
55447206.6,142
55447261.0,142
55447316.2,142
55445219.2,143
55447130.5,143
55447204.7,143
55445230.8,144
55445235.6,144
55447173.0,144
55447224.6,144
55447431.2,144
55445264.9,145
55447127.3,145
55447146.5,145
55447159.4,145
55447187.5,145
55447200.9,145
55445293.6,146
55445312.1,146
55447185.5,146
55447142.2,147
55447186.0,147
55447204.1,147
55447223.0,147
55445246.6,148
55447104.6,148
55447170.6,148
55447200.7,148
55447168.0,149
55447176.1,149
55447179.4,149
55447208.8,149
55447223.4,149
55445186.2,150
55445252.5,150
55445274.3,150
55447180.6,150
55447194.1,150
55447238.4,150
55448567.1,150
55445242.0,151
55445343.1,151
55447104.6,151
55447145.8,151
55447149.4,151
55447154.2,151
55445181.7,152
55445192.1,152
55445266.7,152
55447136.9,152
55447187.6,152
55447198.3,152
55445205.8,153
55445298.4,153
55445529.9,153
55447098.4,153
55447153.3,153
55447204.3,153
55447245.7,153
55445242.4,154
55447237.4,154
55447282.3,154
55445207.9,155
55445261.5,155
55447083.7,155
55447192.3,155
55447199.7,155
55445171.8,156
55447164.2,156
55447200.2,156
55445211.4,157
55445286.6,157
55447161.2,157
55447208.0,157
55447439.0,157
55447130.4,159
55447136.1,159
55447154.4,159
55447200.0,159
55447230.7,159
55445268.5,160
55447174.6,160
55447226.7,160
55447301.9,160
55447266.2,161
55445052.4,162
55447222.7,162
55445357.2,163
55447184.7,163
55447187.1,163
55447197.3,163
55447215.1,163
55447275.3,163
55445142.2,164
55445247.4,164
55445309.2,164
55447036.1,164
55447046.1,164
55447186.0,164
55447217.2,164
55447313.7,164
55445317.4,165
55447178.9,165
55447199.6,165
55447218.2,165
55447252.0,165
55447260.0,165
55445254.2,166
55445256.8,166
55445261.9,166
55447127.1,166
55447143.8,166
55447229.8,166
55447135.4,167
55445277.7,168
55447231.8,168
55445110.5,169
55447235.5,169
55445185.0,170
55445244.7,170
55445267.1,170
55445276.2,170
55447140.6,170
55447160.4,170
55447202.2,170
55447235.7,170
55445402.3,171
55447046.0,171
55447196.2,171
55447114.3,172
55447135.2,172
55447211.5,172
55447254.3,172
55445206.9,173
55445260.3,173
55445319.0,173
55447171.1,173
55447186.6,173
55447304.0,173
55445223.0,174
55445243.4,174
55447153.8,174
55447197.7,174
55447217.4,174
55447268.5,174
55445261.8,175
55447161.9,175
55445174.5,176
55447085.3,176
55447123.4,176
55447205.6,176
55445201.3,177
55445249.5,177
55447157.2,177
55447178.7,177
55447196.2,177
55447216.3,178
55447241.6,178
55448214.7,178
55445181.6,179
55445211.5,179
55447238.0,179
55447241.1,179
55447242.7,179
55447314.4,179
55445234.0,180
55445253.5,180
55447139.4,180
55447150.4,180
55447160.4,180
55445269.0,181
55447119.7,182
55447193.6,182
55445191.8,183
55445244.1,183
55447166.1,183
55447048.2,184
55447161.1,184
55447193.5,184
55447134.7,185
55447172.1,185
55447222.3,185
55447082.7,186
55447181.6,186
55447205.7,186
55447225.6,186
55447120.8,187
55447129.5,188
55447156.7,188
55447198.2,188
55445236.6,189
55445240.4,189
55445245.1,189
55447175.4,189
55447217.1,189
55445206.2,190
55447178.3,190
55447198.5,190
55447214.1,190
55447220.9,190
55445265.1,191
55447086.8,191
55445154.8,192
55445257.9,192
55445304.3,193
55447186.0,193
55447209.3,193
55447280.5,193
55445230.9,194
55447137.0,194
55447201.9,194
55447268.4,194
55445217.2,195
55445236.4,195
55445289.6,195
55447131.3,195
55447136.9,195
55447167.8,195
55447199.0,195
